Model,Language,SpecLanguage,PromptStyle,Run,Status,CyclesCompleted
qwen2.5:0.5b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen:1.8b,en,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
falcon3:3b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
falcon3:1b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
falcon3:3b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen2:1.5b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,en,s,expression,1,"FAIL: Cycle 2 failed.",1
qwen2.5:0.5b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen:4b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
yi:6b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
orca:mini:3b,en,pseudocode,hyper,1,"FAIL: Cycle 3 failed.",2
qwen2:1.5b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
yi:6b,ja,s,expression,1,"FAIL: Cycle 3 failed.",2
smollm2:1.7b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,ja,minilang,hyper,2,"FAIL: Cycle 2 failed.",1
orca:mini:3b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
qwen:1.8b,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
falcon3:3b,ja,minilang,hyper,2,"FAIL: Cycle 2 failed.",1
orca:mini:3b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,pseudocode,fewshot,2,"FAIL: Cycle 3 failed.",2
tinyllama:1.1b,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,en,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
smollm:360m,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
llama2:7b,en,minilang,hyper,3,"SUCCESS: All cycles completed.",10
smollm:360m,en,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
falcon3:1b,en,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
yi:6b,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,ja,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
llama2:7b,en,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
qwen:4b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
smollm:360m,en,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
gemma3:4b,ja,minilang,hyper,1,"SUCCESS: All cycles completed.",10
phi3:mini,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
qwen:1.8b,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
smollm:360m,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,en,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
yi:6b,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen:4b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
smollm2:1.7b,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen:0.5b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
yi:6b,ja,pseudocode,hyper,1,"FAIL: Cycle 3 failed.",2
qwen:4b,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
phi3:mini,en,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
yi:6b,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
llama3.2:1b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
falcon3:1b,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
yi:6b,en,s,expression,2,"FAIL: Cycle 3 failed.",2
gemma3:4b,ja,s,expression,3,"FAIL: Cycle 2 failed.",1
smollm:360m,en,s,expression,1,"FAIL: Cycle 1 failed.",0
falcon3:1b,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
gemma:2b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
smollm:360m,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
yi:6b,en,minilang,hyper,1,"FAIL: Cycle 8 failed.",7
falcon3:1b,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
qwen:1.8b,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
falcon3:3b,ja,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
llama2:7b,en,minilang,hyper,2,"SUCCESS: All cycles completed.",10
tinyllama:1.1b,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,pseudocode,fewshot,3,"FAIL: Cycle 3 failed.",2
smollm2:1.7b,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
gemma3:4b,en,s,expression,1,"FAIL: Cycle 3 failed.",2
smollm:360m,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,ja,minilang,hyper,3,"FAIL: Cycle 2 failed.",1
falcon3:1b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,en,minilang,fewshot,2,"FAIL: Cycle 2 failed.",1
yi:6b,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
falcon3:1b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
yi:6b,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
gemma:2b,en,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
phi3:mini,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
gemma3:4b,ja,s,expression,2,"SUCCESS: All cycles completed.",10
deepscaler:1.5b,en,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
yi:6b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
yi:6b,en,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
phi:latest,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,en,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
qwen:4b,en,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,minilang,hyper,3,"FAIL: Cycle 2 failed.",1
smollm2:1.7b,en,pseudocode,fewshot,2,"FAIL: Cycle 2 failed.",1
tinyllama:1.1b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
phi3:mini,en,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
smollm:360m,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen:1.8b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
