Model,Language,SpecLanguage,PromptStyle,Run,Status,CyclesCompleted
gemma3-4b,ja,pseudocode,hyper,26,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,14,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,fewshot,29,"FAIL: Cycle 4 failed.",3
falcon3-3b,en,minilang,fewshot,12,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,16,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,28,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,20,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,fewshot,16,"FAIL: Cycle 3 failed.",2
falcon3-3b,en,pseudocode,hyper,1,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,20,"SUCCESS: All cycles completed.",10
yi-6b,ja,pseudocode,fewshot,22,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,29,"FAIL: Cycle 2 failed.",1
yi-6b,en,minilang,hyper,17,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,16,"FAIL: Cycle 3 failed.",2
gemma3-4b,ja,pseudocode,hyper,19,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,7,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,fewshot,24,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,minilang,hyper,1,"SUCCESS: All cycles completed.",10
llama2-7b,ja,minilang,hyper,10,"FAIL: Cycle 2 failed.",1
phi3-mini,ja,pseudocode,fewshot,29,"FAIL: Cycle 2 failed.",1
phi3-mini,ja,minilang,hyper,3,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,27,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,pseudocode,hyper,6,"FAIL: Cycle 6 failed.",5
llama2-7b,ja,minilang,hyper,28,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,hyper,27,"SUCCESS: All cycles completed.",10
