Model,Language,SpecLanguage,PromptStyle,Run,Status,CyclesCompleted
phi3-mini,ja,pseudocode,fewshot,11,"FAIL: Cycle 3 failed.",2
llama3.2-3b,en,s,expression,11,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,9,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,8,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,21,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,13,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,minilang,fewshot,15,"SUCCESS: All cycles completed.",10
phi3-mini,ja,minilang,hyper,4,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,18,"FAIL: Cycle 2 failed.",1
llama2-7b,ja,minilang,hyper,17,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,fewshot,18,"FAIL: Cycle 2 failed.",1
yi-6b,ja,minilang,fewshot,23,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,minilang,hyper,6,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,11,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,7,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,25,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,10,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,s,expression,5,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,fewshot,27,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,hyper,11,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,11,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,fewshot,23,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,18,"FAIL: Cycle 1 failed.",0
phi3-mini,en,s,expression,25,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,17,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,9,"SUCCESS: All cycles completed.",10
yi-6b,en,minilang,hyper,19,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,27,"FAIL: Cycle 1 failed.",0
yi-6b,ja,minilang,fewshot,15,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,fewshot,18,"FAIL: Cycle 1 failed.",0
llama2-7b,ja,minilang,hyper,21,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,1,"SUCCESS: All cycles completed.",10
yi-6b,en,minilang,hyper,26,"FAIL: Cycle 7 failed.",6
llama3.2-3b,en,s,expression,18,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,4,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,13,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,28,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,27,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,20,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,minilang,fewshot,24,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,22,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,10,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,s,expression,9,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,fewshot,16,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,8,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,fewshot,20,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,hyper,16,"SUCCESS: All cycles completed.",10
llama2-7b,ja,minilang,hyper,19,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,4,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,fewshot,20,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,21,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,14,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,7,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,6,"SUCCESS: All cycles completed.",10
llama2-7b,en,s,expression,30,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,pseudocode,hyper,8,"FAIL: Cycle 8 failed.",7
llama2-7b,ja,minilang,hyper,26,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,hyper,29,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,fewshot,12,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,fewshot,29,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,s,expression,11,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,fewshot,18,"FAIL: Cycle 5 failed.",4
falcon3-3b,ja,pseudocode,hyper,25,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,8,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,s,expression,3,"SUCCESS: All cycles completed.",10
llama2-7b,en,minilang,hyper,28,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,28,"FAIL: Cycle 2 failed.",1
gemma3-4b,ja,minilang,hyper,27,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,11,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,fewshot,27,"FAIL: Cycle 2 failed.",1
gemma3-4b,en,s,expression,9,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,hyper,15,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,minilang,fewshot,9,"FAIL: Cycle 1 failed.",0
yi-6b,ja,minilang,hyper,10,"FAIL: Cycle 1 failed.",0
llama2-7b,en,pseudocode,hyper,21,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,18,"SUCCESS: All cycles completed.",10
yi-6b,en,pseudocode,hyper,30,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,hyper,17,"FAIL: Cycle 3 failed.",2
llama2-7b,en,minilang,hyper,17,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,20,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,4,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,s,expression,9,"FAIL: Cycle 3 failed.",2
gemma3-4b,ja,s,expression,29,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,22,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,16,"FAIL: Cycle 4 failed.",3
falcon3-3b,en,s,expression,4,"FAIL: Cycle 1 failed.",0
yi-6b,ja,minilang,hyper,28,"FAIL: Cycle 3 failed.",2
llama2-7b,en,pseudocode,hyper,19,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,10,"FAIL: Cycle 2 failed.",1
llama2-7b,en,minilang,hyper,10,"SUCCESS: All cycles completed.",10
llama2-7b,en,pseudocode,hyper,26,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,hyper,17,"FAIL: Cycle 3 failed.",2
llama3.2-3b,ja,pseudocode,hyper,12,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,s,expression,29,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,fewshot,20,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,16,"FAIL: Cycle 9 failed.",8
gemma3-4b,ja,minilang,hyper,16,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,19,"FAIL: Cycle 4 failed.",3
llama2-7b,en,minilang,hyper,19,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,fewshot,4,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,20,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,minilang,fewshot,7,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,fewshot,29,"FAIL: Cycle 3 failed.",2
falcon3-3b,ja,pseudocode,hyper,14,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,7,"FAIL: Cycle 1 failed.",0
llama2-7b,en,minilang,hyper,26,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,26,"FAIL: Cycle 3 failed.",2
gemma3-4b,ja,minilang,hyper,29,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,6,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,fewshot,16,"FAIL: Cycle 10 failed.",9
gemma3-4b,ja,s,expression,20,"FAIL: Cycle 1 failed.",0
llama2-7b,en,pseudocode,hyper,10,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,hyper,21,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,hyper,24,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,13,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,18,"FAIL: Cycle 1 failed.",0
llama2-7b,en,pseudocode,hyper,28,"FAIL: Cycle 9 failed.",8
yi-6b,ja,minilang,hyper,19,"FAIL: Cycle 3 failed.",2
falcon3-3b,ja,minilang,fewshot,3,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,27,"FAIL: Cycle 4 failed.",3
gemma3-4b,ja,minilang,hyper,11,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,18,"FAIL: Cycle 5 failed.",4
llama3.2-3b,ja,pseudocode,hyper,23,"FAIL: Cycle 1 failed.",0
yi-6b,ja,minilang,hyper,26,"FAIL: Cycle 2 failed.",1
llama2-7b,en,pseudocode,hyper,17,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,27,"FAIL: Cycle 5 failed.",4
llama3.2-3b,ja,pseudocode,fewshot,11,"FAIL: Cycle 6 failed.",5
phi3-mini,en,s,expression,1,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,s,expression,7,"FAIL: Cycle 1 failed.",0
llama2-7b,en,minilang,hyper,21,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,21,"FAIL: Cycle 4 failed.",3
llama3.2-3b,ja,minilang,hyper,9,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,17,"FAIL: Cycle 3 failed.",2
llama2-7b,ja,minilang,hyper,18,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,5,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,30,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,fewshot,21,"FAIL: Cycle 3 failed.",2
gemma3-4b,en,minilang,hyper,17,"FAIL: Cycle 5 failed.",4
llama3.2-3b,en,s,expression,21,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,8,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,minilang,fewshot,25,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,23,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,11,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,28,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,9,"FAIL: Cycle 5 failed.",4
llama2-7b,ja,minilang,hyper,27,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,fewshot,28,"FAIL: Cycle 1 failed.",0
yi-6b,ja,minilang,fewshot,13,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,fewshot,21,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,6,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,7,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,20,"SUCCESS: All cycles completed.",10
yi-6b,ja,pseudocode,fewshot,15,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,minilang,fewshot,22,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,19,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,fewshot,8,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,24,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,16,"SUCCESS: All cycles completed.",10
yi-6b,en,minilang,hyper,18,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,30,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,26,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,fewshot,26,"FAIL: Cycle 2 failed.",1
gemma3-4b,en,minilang,hyper,10,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,s,expression,4,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,fewshot,10,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,5,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,27,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,19,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,12,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,29,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,26,"FAIL: Cycle 7 failed.",6
yi-6b,ja,minilang,fewshot,14,"FAIL: Cycle 1 failed.",0
llama2-7b,ja,minilang,hyper,20,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,fewshot,19,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,8,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,9,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,10,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,20,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,12,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,minilang,fewshot,14,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,26,"FAIL: Cycle 5 failed.",4
gemma3-4b,en,minilang,hyper,26,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,fewshot,10,"FAIL: Cycle 2 failed.",1
falcon3-3b,en,pseudocode,hyper,7,"FAIL: Cycle 4 failed.",3
llama2-7b,ja,minilang,hyper,29,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,s,expression,6,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,fewshot,10,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,fewshot,1,"SUCCESS: All cycles completed.",10
yi-6b,ja,pseudocode,fewshot,24,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,11,"SUCCESS: All cycles completed.",10
llama2-7b,ja,minilang,hyper,16,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,hyper,19,"FAIL: Cycle 5 failed.",4
phi3-mini,ja,minilang,hyper,5,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,fewshot,22,"FAIL: Cycle 3 failed.",2
llama3.2-3b,ja,minilang,hyper,7,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,19,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,21,"FAIL: Cycle 4 failed.",3
phi3-mini,ja,pseudocode,fewshot,17,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,pseudocode,fewshot,21,"FAIL: Cycle 4 failed.",3
gemma3-4b,ja,pseudocode,hyper,27,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,15,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,fewshot,28,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,minilang,fewshot,13,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,17,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,29,"FAIL: Cycle 5 failed.",4
yi-6b,ja,minilang,fewshot,25,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,fewshot,28,"FAIL: Cycle 3 failed.",2
phi3-mini,ja,minilang,hyper,2,"FAIL: Cycle 4 failed.",3
llama2-7b,ja,minilang,hyper,11,"FAIL: Cycle 2 failed.",1
llama3.2-3b,en,pseudocode,fewshot,30,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,23,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,28,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,16,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,17,"FAIL: Cycle 5 failed.",4
gemma3-4b,ja,minilang,fewshot,6,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,18,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,hyper,10,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,19,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,12,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,fewshot,2,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,26,"FAIL: Cycle 7 failed.",6
llama2-7b,en,pseudocode,hyper,29,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,hyper,18,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,s,expression,6,"FAIL: Cycle 1 failed.",0
llama2-7b,en,minilang,hyper,20,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,20,"FAIL: Cycle 2 failed.",1
yi-6b,ja,minilang,hyper,27,"FAIL: Cycle 4 failed.",3
llama2-7b,en,pseudocode,hyper,16,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,19,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,hyper,22,"FAIL: Cycle 3 failed.",2
llama3.2-3b,ja,pseudocode,fewshot,10,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,26,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,6,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,minilang,fewshot,5,"FAIL: Cycle 5 failed.",4
gemma3-4b,en,s,expression,21,"FAIL: Cycle 2 failed.",1
gemma3-4b,en,s,expression,6,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,15,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,fewshot,28,"FAIL: Cycle 1 failed.",0
phi3-mini,en,pseudocode,fewshot,30,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,pseudocode,hyper,18,"FAIL: Cycle 9 failed.",8
llama2-7b,en,minilang,hyper,18,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,17,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,21,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,fewshot,17,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,25,"FAIL: Cycle 2 failed.",1
llama2-7b,en,pseudocode,hyper,11,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,hyper,20,"FAIL: Cycle 3 failed.",2
gemma3-4b,ja,minilang,hyper,28,"SUCCESS: All cycles completed.",10
llama2-7b,en,minilang,hyper,27,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,27,"FAIL: Cycle 2 failed.",1
phi3-mini,en,s,expression,7,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,23,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,28,"FAIL: Cycle 5 failed.",4
falcon3-3b,en,s,expression,5,"FAIL: Cycle 1 failed.",0
yi-6b,ja,minilang,hyper,29,"FAIL: Cycle 5 failed.",4
llama2-7b,en,pseudocode,hyper,18,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,17,"FAIL: Cycle 2 failed.",1
falcon3-3b,en,pseudocode,fewshot,30,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,21,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,s,expression,8,"FAIL: Cycle 2 failed.",1
falcon3-3b,en,s,expression,5,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,13,"FAIL: Cycle 10 failed.",9
gemma3-4b,en,s,expression,28,"FAIL: Cycle 4 failed.",3
llama2-7b,en,pseudocode,hyper,27,"SUCCESS: All cycles completed.",10
yi-6b,ja,minilang,hyper,16,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,17,"FAIL: Cycle 4 failed.",3
llama3.2-3b,ja,pseudocode,fewshot,21,"FAIL: Cycle 2 failed.",1
phi3-mini,ja,pseudocode,hyper,11,"FAIL: Cycle 3 failed.",2
llama2-7b,en,minilang,hyper,11,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,2,"SUCCESS: All cycles completed.",10
phi3-mini,en,s,expression,9,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,hyper,26,"SUCCESS: All cycles completed.",10
llama2-7b,en,minilang,hyper,29,"SUCCESS: All cycles completed.",10
phi3-mini,ja,pseudocode,hyper,29,"FAIL: Cycle 2 failed.",1
gemma3-4b,en,s,expression,10,"FAIL: Cycle 5 failed.",4
falcon3-3b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,24,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,fewshot,19,"FAIL: Cycle 6 failed.",5
phi3-mini,ja,pseudocode,hyper,16,"FAIL: Cycle 3 failed.",2
llama2-7b,en,minilang,hyper,16,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,19,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,8,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,fewshot,26,"FAIL: Cycle 3 failed.",2
gemma3-4b,ja,s,expression,10,"FAIL: Cycle 3 failed.",2
yi-6b,ja,minilang,hyper,11,"FAIL: Cycle 2 failed.",1
llama2-7b,en,pseudocode,hyper,20,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,8,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,hyper,14,"FAIL: Cycle 6 failed.",5
phi3-mini,en,minilang,fewshot,28,"FAIL: Cycle 1 failed.",0
yi-6b,en,minilang,hyper,9,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,s,expression,7,"FAIL: Cycle 2 failed.",1
yi-6b,ja,s,expression,6,"FAIL: Cycle 1 failed.",0
llama2-7b,en,minilang,fewshot,17,"FAIL: Cycle 1 failed.",0
llama2-7b,ja,s,expression,25,"FAIL: Cycle 1 failed.",0
phi3-mini,en,minilang,hyper,19,"FAIL: Cycle 2 failed.",1
yi-6b,ja,s,expression,21,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,fewshot,10,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,fewshot,22,"FAIL: Cycle 2 failed.",1
phi3-mini,en,minilang,fewshot,17,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,minilang,fewshot,30,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,11,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,24,"FAIL: Cycle 1 failed.",0
phi3-mini,en,minilang,hyper,26,"SUCCESS: All cycles completed.",10
llama2-7b,en,minilang,fewshot,28,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,pseudocode,hyper,12,"SUCCESS: All cycles completed.",10
yi-6b,ja,s,expression,26,"FAIL: Cycle 1 failed.",0
yi-6b,ja,s,expression,1,"FAIL: Cycle 2 failed.",1
llama2-7b,en,minilang,fewshot,10,"FAIL: Cycle 1 failed.",0
llama2-7b,ja,s,expression,22,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,minilang,hyper,29,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,fewshot,28,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,16,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,23,"FAIL: Cycle 1 failed.",0
phi3-mini,en,minilang,hyper,21,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,15,"SUCCESS: All cycles completed.",10
yi-6b,ja,s,expression,19,"FAIL: Cycle 1 failed.",0
phi3-mini,ja,s,expression,30,"FAIL: Cycle 1 failed.",0
phi3-mini,en,minilang,fewshot,10,"FAIL: Cycle 1 failed.",0
yi-6b,ja,pseudocode,fewshot,4,"FAIL: Cycle 1 failed.",0
