Model,Language,SpecLanguage,PromptStyle,TestCase,Run,Status,CyclesCompleted
llama3.2-3b,ja,s,expression,fewshot,10,"FAIL: Cycle 6 failed.",5
llama3.2-3b,en,s,expression,fewshot,14,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,guided,19,"FAIL: Cycle 8 failed.",7
llama3.2-3b,ja,s,expression,fewshot,28,"FAIL: Cycle 5 failed.",4
gemma3-4b,ja,s,expression,hyper,30,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,fewshot,fizzbuzz,21,"FAIL: Cycle 3 failed.",2
llama3.2-3b,ja,s,expression,fewshot,17,"FAIL: Cycle 8 failed.",7
llama3.2-3b,en,s,expression,fewshot,5,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,pseudocode,hyper,guided,26,"FAIL: Cycle 3 failed.",2
llama3.2-3b,ja,pseudocode,hyper,guided,25,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,fewshot,22,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,minilang,fewshot,fizzbuzz,28,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,fewshot,7,"FAIL: Cycle 6 failed.",5
falcon3-3b,ja,pseudocode,hyper,guided,10,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,hyper,guided,13,"FAIL: Cycle 6 failed.",5
llama3.2-3b,ja,s,expression,fewshot,21,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,minilang,fewshot,fizzbuzz,17,"FAIL: Cycle 6 failed.",5
falcon3-3b,ja,pseudocode,hyper,guided,28,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,s,expression,fewshot,19,"FAIL: Cycle 2 failed.",1
llama3.2-3b,en,s,expression,fewshot,25,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,s,expression,fewshot,26,"FAIL: Cycle 3 failed.",2
falcon3-3b,ja,minilang,fewshot,fizzbuzz,10,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,hyper,guided,14,"FAIL: Cycle 5 failed.",4
falcon3-3b,ja,pseudocode,hyper,guided,17,"FAIL: Cycle 3 failed.",2
gemma3-4b,ja,s,expression,hyper,4,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,guided,2,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,guided,24,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,4,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,fizzbuzz,21,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,5,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,hyper,guided,23,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,fewshot,fizzbuzz,9,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,guided,5,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,fizzbuzz,19,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,hyper,3,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,2,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,fewshot,fizzbuzz,26,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,3,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,guided,15,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,fizzbuzz,10,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,fizzbuzz,28,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,hyper,guided,12,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,fizzbuzz,17,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,fewshot,fizzbuzz,7,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,fewshot,24,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,pseudocode,hyper,guided,29,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,s,expression,fewshot,18,"FAIL: Cycle 6 failed.",5
gemma3-4b,ja,s,expression,fewshot,1,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,s,expression,fewshot,27,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,minilang,fewshot,fizzbuzz,11,"FAIL: Cycle 3 failed.",2
falcon3-3b,ja,pseudocode,hyper,guided,16,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,hyper,guided,15,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,minilang,fewshot,fizzbuzz,29,"FAIL: Cycle 4 failed.",3
llama3.2-3b,en,s,expression,fewshot,23,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,pseudocode,hyper,guided,12,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,guided,11,"FAIL: Cycle 4 failed.",3
llama3.2-3b,ja,s,expression,fewshot,20,"FAIL: Cycle 3 failed.",2
falcon3-3b,ja,minilang,fewshot,fizzbuzz,16,"FAIL: Cycle 7 failed.",6
gemma3-4b,ja,s,expression,fewshot,6,"FAIL: Cycle 2 failed.",1
